A
AAL
AAP
AAPL
ABBV
ABC
ABMD
ABT
ACN
ADBE
ADI
ADM
ADP
ADS
ADSK
AEE
AEP
AES
AFL
AGN
AIG
AIV
AIZ
AJG
AKAM
ALB
ALGN
ALK
ALL
ALXN
AMAT
AMD
AME
AMG
AMGN
AMP
AMT
AMZN
ANSS
ANTM
AON
AOS
APA
APC
APD
APH
APTV
ARE
ARNC
ATO
ATVI
AVB
AVGO
AVY
AWK
AXP
AZO
BA
BAC
BAX
BBT
BBY
BDX
BEN
BHGE
BIIB
BK
BKNG
BLK
BLL
BMY
BR
BSX
BWA
BXP
C
CAG
CAH
CAT
CB
CBOE
CBRE
CBS
CCI
CCL
CDNS
CE
CELG
CERN
CF
CHD
CHRW
CHTR
CI
CINF
CL
CLX
CMA
CMCSA
CME
CMG
CMI
CMS
CNC
CNP
COF
COG
COO
COP
COST
CPB
CPRI
CPRT
CRM
CSCO
CSX
CTAS
CTL
CTSH
CTXS
CVS
CVX
CXO
D
DAL
DD
DE
DFS
DG
DGX
DHI
DHR
DIS
DISCA
DISCK
DISH
DLR
DLTR
DOV
DRE
DRI
DTE
DUK
DVA
DVN
DXC
EA
EBAY
ECL
ED
EFX
EIX
EL
EMN
EMR
EOG
EQIX
EQR
ES
ESS
ETFC
ETN
ETR
EVRG
EW
EXC
EXPD
EXPE
EXR
F
FANG
FAST
FB
FBHS
FCX
FDX
FE
FFIV
FIS
FISV
FITB
FL
FLIR
FLS
FLT
FMC
FRC
FRT
FTI
FTNT
GD
GE
GILD
GIS
GLW
GM
GOOG
GOOGL
GPC
GPN
GPS
GRMN
GS
GWW
HAL
HAS
HBAN
HBI
HCA
HCP
HD
HES
HFC
HIG
HII
HOG
HOLX
HON
HP
HPQ
HRB
HRL
HSIC
HST
HSY
HUM
IBM
ICE
IDXX
IFF
ILMN
INCY
INTC
INTU
IP
IPG
IPGP
IR
IRM
ISRG
IT
ITW
IVZ
JBHT
JCI
JEC
JEF
JKHY
JNJ
JNPR
JPM
JWN
K
KEY
KIM
KLAC
KMB
KMI
KMX
KO
KR
KSS
KSU
L
LB
LEG
LEN
LH
LIN
LKQ
LLY
LMT
LNC
LNT
LOW
LRCX
LUV
LYB
M
MA
MAA
MAC
MAR
MAS
MCD
MCHP
MCK
MCO
MDLZ
MDT
MET
MGM
MHK
MKC
MKTX
MLM
MMC
MMM
MNST
MO
MOS
MPC
MRK
MRO
MS
MSCI
MSFT
MSI
MTB
MTD
MU
MXIM
MYL
NBL
NDAQ
NEE
NEM
NFLX
NI
NKE
NKTR
NLSN
NOC
NOV
NRG
NSC
NTAP
NTRS
NUE
NVDA
NWL
O
OKE
OMC
ORCL
ORLY
OXY
PAYX
PBCT
PCAR
PEG
PEP
PFE
PFG
PG
PGR
PH
PHM
PKG
PKI
PLD
PM
PNC
PNR
PNW
PPG
PPL
PRGO
PRU
PSA
PSX
PVH
PWR
PXD
QCOM
RCL
RE
REG
REGN
RF
RHI
RJF
RL
RMD
ROK
ROL
ROP
ROST
RSG
RTN
SBAC
SBUX
SCHW
SEE
SHW
SIVB
SJM
SLB
SLG
SNA
SNPS
SO
SPG
SPGI
SRE
STI
STT
STX
STZ
SWK
SWKS
SYK
SYMC
SYY
T
TAP
TDG
TEL
TFX
TGT
TIF
TJX
TMK
TMO
TMUS
TPR
TRIP
TROW
TRV
TSCO
TSN
TSS
TTWO
TXN
TXT
UAA
UAL
UDR
UHS
ULTA
UNH
UNM
UNP
UPS
URI
USB
UTX
V
VAR
VFC
VIAB
VLO
VMC
VNO
VRSK
VRSN
VRTX
VTR
VZ
WAB
WAT
WBA
WCG
WDC
WEC
WELL
WFC
WHR
WLTW
WM
WMB
WMT
WU
WY
WYNN
XEC
XEL
XLNX
XOM
XRAY
XRX
XYL
YUM
ZBH
ZION
